"Start.date","SI"
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-07-26,1
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,0
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-09,1
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,0
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-08-23,1
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,0
2011-09-10,1
2011-09-10,1
2011-09-10,1
2011-09-10,1
2011-09-10,1
2011-09-10,1
2011-09-10,1
2011-09-10,1
2011-09-10,1
2011-09-10,1
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
